metal,production_route,year,region,application,energy_mix,transport_mode,transport_distance_km,gwp_kg_co2_per_kg,energy_mj_per_kg,global_recycling_rate_pct,recycled_content_pct,water_use_l_per_kg,so2_kg_per_kg,eol_recovery_pct,typical_lifespan_years,reuse_potential_score,unit_price_usd_per_kg,circularity_index,material_efficiency_score,end_of_life_scenario,carbon_intensity_category,transport_gwp_kg_co2_per_kg,route_type,life_cycle_stage,upstream_gwp_kg_co2,downstream_gwp_kg_co2,pathway_type,circular_flow_type,emission_reduction_vs_primary_pct,benchmark_gwp_for_metal,process_temperature_celsius,batch_size_tonnes,facility_age_years,waste_generated_kg_per_kg,co2_capture_used,acidification_potential,eutrophication_potential,human_toxicity_score,abiotic_depletion_score,data_completeness_score,recommended_action
Copper,Secondary - Recycled,2016,Russia,Heat Exchangers,Mixed Grid (India),Air Freight,4025.4,0.9118,17.028,60.07,44.42,110.95,0.001,72.98,56.9,5,8.0,55.55,0.768,Landfill,Low,0.52577,Secondary,Use,0.5495,0.3623,Hybrid,Linear,71.51,3.2,793,68.3,42,5.1015,Partial,0.00121,0.04433,0.88,0.08883,0.56,Implement end-of-life collection and recycling programme
Tin,Primary - Hard Rock Mining,2024,Russia,Solder,Mixed Grid (China),Rail,552.5,17.4856,286.557,63.35,6.73,420.98,0.0419,71.0,8.6,4,33.52,47.82,0.706,Open Loop Recycling,High,0.15054,Primary,Manufacturing,10.9311,6.5545,Conventional,Open Loop,-9.29,16.0,401,196.7,22,4.1304,No,0.03382,0.02905,2.4337,0.11308,0.56,Increase recycled content in feedstock
Nickel,Primary - Laterite (HPAL),2011,Canada,Electroplating,Mixed Grid (Global Avg),Combined (Road+Sea),4384.4,13.6146,117.547,66.66,1.4,275.99,0.0232,69.52,22.6,4,15.84,47.47,0.915,Closed Loop Recycling,High,1.03804,Primary,Processing,7.8625,5.7521,Hybrid,Closed Loop,-4.73,13.0,878,90.8,15,6.6653,Yes,0.01903,0.00114,1.4496,0.09068,0.83,Increase recycled content in feedstock
Aluminium,Primary - Bauxite Mining,2020,Zambia,Automotive,Mixed Grid (India),Rail,1991.3,13.6097,135.159,79.12,0.53,1930.45,0.0952,74.57,20.7,4,2.77,53.17,0.864,Open Loop Recycling,High,0.30295,Primary,Manufacturing,8.2742,5.3355,Conventional,Open Loop,-18.35,11.5,796,394.8,22,4.8519,Yes,0.10943,0.00428,0.8513,0.04867,0.95,Increase recycled content in feedstock
Gold,Secondary - Jewellery Recycling,2021,Global Average,Investment,Mixed Grid (China),Rail,869.5,68.3464,904.373,29.7,18.8,522.5,0.0054,24.53,100.4,4,59745.85,24.51,0.787,Closed Loop Recycling,High,0.10218,Secondary,Extraction,41.8175,26.5289,Circular,Closed Loop,99.57,16000,697,223.3,19,3.3973,No,0.00479,0.03405,1.9178,0.12156,0.98,Maintain current circular practices; explore renewable energy
Titanium,Secondary - Aerospace Scrap,2015,Australia,Aerospace,Nuclear Grid,Rail,764.9,1.9753,67.356,27.6,11.73,94.55,0.0085,25.47,26.0,2,17.34,21.15,0.554,Reuse,Low,0.16057,Secondary,Extraction,1.1327,0.8426,Circular,Closed Loop,94.36,35,327,416.8,2,2.8768,No,0.00901,0.01361,1.1808,0.04532,0.74,Reduce material losses in processing
Copper,Primary - Sulphide Ore,2024,Australia,Renewable Energy,Hydro-dominated Grid,Pipeline,528.1,0.955,81.405,63.24,2.69,247.33,0.0018,55.26,36.1,3,8.86,41.5,0.702,Urban Mining,Low,0.0904,Primary,End-of-Life,0.54,0.415,Conventional,Open Loop,70.16,3.2,1105,132.8,33,6.1731,No,0.00231,0.01363,1.6464,0.1455,0.76,Increase recycled content in feedstock
Steel,EAF - Green Electricity,2010,Central Asia,Machinery,Nuclear Grid,Road,141.6,0.3443,20.239,88.62,6.84,38.13,0.0049,89.66,64.8,5,0.92,63.03,0.553,Closed Loop Recycling,Low,0.0107,Primary,Manufacturing,0.2473,0.097,Hybrid,Closed Loop,81.88,1.9,1391,5.8,23,2.0319,No,0.00435,0.00339,0.4342,0.01023,0.62,Increase recycled content in feedstock
Indium,Primary - Lead-Zinc Byproduct,2023,Australia,Semiconductors,Renewable Grid,Air Freight,3041.1,21.4498,2207.559,39.13,0.26,1548.78,0.2203,33.98,11.0,3,164.59,26.19,0.719,Open Loop Recycling,High,0.83195,Primary,End-of-Life,13.4332,8.0166,Conventional,Open Loop,87.16,167,719,84.4,23,2.0882,Yes,0.28298,0.00414,0.3982,0.02891,0.72,Increase recycled content in feedstock
Copper,Secondary - Recycled,2013,Global Average,Plumbing,Hydro-dominated Grid,Air Freight,2885.7,0.6079,15.929,68.84,33.24,51.48,0.0006,55.37,32.3,4,8.2,50.35,0.626,Reuse,Low,0.49083,Secondary,Use,0.4185,0.1894,Circular,Closed Loop,81.0,3.2,548,398.0,12,7.7265,Yes,0.00061,0.01125,0.4787,0.07985,0.61,Reduce material losses in processing
Lead,Primary - Blast Furnace,2017,Brazil,Construction,Mixed Grid (EU),Sea Freight,6326.1,2.589,23.958,97.16,1.66,160.67,0.0115,95.99,22.7,5,1.95,66.89,0.564,Incineration,Medium,1.07612,Primary,Use,1.7056,0.8834,Conventional,Linear,-52.29,1.7,1469,137.8,3,7.0261,No,0.01383,0.03341,0.2797,0.14745,0.96,Optimise production process efficiency
Steel,Electric Arc Furnace (EAF),2015,Brazil,Automotive,Mixed Grid (EU),Combined (Road+Sea),3830.1,2.2233,20.374,90.37,8.93,45.12,0.0061,88.54,76.0,5,1.18,63.73,0.593,Reuse,Medium,0.48624,Primary,Manufacturing,1.3978,0.8255,Hybrid,Closed Loop,-17.02,1.9,1098,202.6,30,0.3643,No,0.00781,0.01584,1.2129,0.12056,0.56,Increase recycled content in feedstock
Steel,Electric Arc Furnace (EAF),2010,DRC,Infrastructure,Coal Grid,Air Freight,2895.0,3.2956,20.85,84.41,4.72,50.93,0.0064,83.31,63.4,5,0.88,59.23,0.833,Remanufacturing,Medium,0.45675,Primary,Extraction,2.2185,1.0771,Hybrid,Closed Loop,-73.45,1.9,583,468.1,22,4.1832,No,0.00651,0.0178,0.5919,0.00335,0.88,Switch to renewable energy grid
Chromium,Primary - Ferrochrome (Kazakhstan),2012,India,Surface Coating,Renewable Grid,Air Freight,2906.9,1.5329,175.728,31.61,9.8,178.14,0.0124,32.47,27.9,3,8.1,25.01,0.808,Closed Loop Recycling,Low,0.33318,Primary,Manufacturing,0.9702,0.5627,Hybrid,Closed Loop,87.74,12.5,1242,383.7,11,3.9475,No,0.01563,0.03934,0.0195,0.14519,0.6,Increase recycled content in feedstock
Chromium,Primary - Ferrochrome (South Africa),2015,Peru,Surface Coating,Mixed Grid (India),Air Freight,3864.7,8.8079,168.748,36.77,3.52,221.43,0.028,26.35,25.2,3,11.34,23.73,0.707,Open Loop Recycling,Medium,0.37383,Primary,Processing,6.1593,2.6486,Conventional,Open Loop,29.54,12.5,823,465.7,35,3.4539,No,0.03305,0.03891,0.6686,0.12754,0.69,Increase recycled content in feedstock
Zinc,Primary - Low Grade Ore,2019,Canada,Chemicals,Natural Gas Grid,Road,159.1,2.3168,61.596,74.18,0.2,194.86,0.0142,84.32,20.4,3,3.01,53.55,0.823,Open Loop Recycling,Medium,0.041,Primary,End-of-Life,1.3207,0.9961,Conventional,Open Loop,25.26,3.1,1301,459.9,34,1.8996,No,0.01529,0.01267,0.6527,0.09919,0.58,Increase recycled content in feedstock
Tin,Primary - Hard Rock Mining,2019,India,Tinplate,Mixed Grid (EU),Road,428.7,12.688,174.126,64.46,5.71,504.58,0.0352,68.58,16.0,3,34.87,46.53,0.55,Reuse,High,0.1027,Primary,Processing,8.0154,4.6726,Hybrid,Closed Loop,20.7,16.0,433,339.8,3,1.0991,No,0.03492,0.00309,1.6986,0.0384,0.75,Increase recycled content in feedstock
Cobalt,Primary - DRC Mining (Byproduct),2017,India,EV Batteries,Coal Grid,Combined (Road+Sea),5391.0,5.2791,97.083,66.65,7.38,269.14,0.0236,71.68,9.6,4,50.43,49.31,0.802,Closed Loop Recycling,Medium,0.40208,Primary,Extraction,3.1869,2.0922,Hybrid,Closed Loop,37.89,8.5,1339,45.6,31,0.9396,No,0.02153,0.00454,1.9924,0.00559,0.91,Increase recycled content in feedstock
Lead,Secondary - Mixed Scrap,2010,South Africa,Batteries,Coal Grid,Road,493.8,0.5976,6.129,98.55,67.32,52.26,0.0028,91.87,21.1,4,2.5,78.52,0.965,Urban Mining,Low,0.12337,Secondary,Manufacturing,0.4235,0.1741,Hybrid,Open Loop,64.85,1.7,636,88.6,26,5.4937,No,0.00226,0.01958,2.1458,0.12782,0.62,Maintain current circular practices; explore renewable energy
Titanium,Secondary - Industrial Scrap,2010,Peru,Medical Implants,Mixed Grid (EU),Combined (Road+Sea),5744.3,5.3748,50.743,29.16,14.7,140.18,0.0077,20.95,20.0,2,14.91,20.93,0.921,Open Loop Recycling,Medium,1.67708,Secondary,Manufacturing,3.6456,1.7292,Hybrid,Open Loop,84.64,35,832,257.7,37,4.3044,No,0.00695,0.00033,0.4453,0.0238,0.82,Maintain current circular practices; explore renewable energy
Titanium,Secondary - Industrial Scrap,2015,Zambia,Medical Implants,Nuclear Grid,Sea Freight,6054.8,3.2955,85.496,26.35,11.27,154.76,0.0072,22.23,22.8,3,11.78,20.4,0.927,Incineration,Medium,1.72851,Secondary,Processing,1.9306,1.3649,Hybrid,Linear,90.58,35,371,470.7,16,4.1883,No,0.00637,0.04234,1.6038,0.07313,0.97,Transition to closed-loop recycling pathway
Gallium,Secondary - Semiconductor Recycling,2023,Southeast Asia,Solar Cells (GaAs),Mixed Grid (Global Avg),Road,210.6,41.1734,1055.503,25.38,17.91,690.68,0.1456,25.38,11.1,1,301.64,20.83,0.784,Open Loop Recycling,High,0.01099,Secondary,Extraction,29.8705,11.3029,Hybrid,Open Loop,92.23,530,671,111.5,2,2.7481,No,0.14824,0.01289,0.0646,0.12103,0.83,Maintain current circular practices; explore renewable energy
Manganese,Primary - Ore Smelting,2016,Canada,Fertilizers,Hydro-dominated Grid,Road,402.3,0.3344,15.247,51.41,8.9,175.14,0.0019,48.96,24.5,2,2.11,35.96,0.856,Remanufacturing,Low,0.08199,Primary,Extraction,0.2144,0.12,Hybrid,Closed Loop,74.28,1.3,1521,188.0,12,2.5514,Yes,0.00165,0.01779,1.675,0.08422,0.74,Increase recycled content in feedstock
Rare Earths,Primary - Monazite,2010,Indonesia,Phosphors,Hydro-dominated Grid,Road,340.6,10.2947,552.602,0.5,8.73,8337.86,0.1318,20.18,16.2,2,118.32,9.47,0.659,Remanufacturing,High,0.09105,Primary,Use,5.7466,4.5481,Hybrid,Closed Loop,65.68,30.0,1363,82.8,39,3.2392,Partial,0.11144,0.01566,1.4945,0.08109,0.82,Increase recycled content in feedstock
Chromium,Secondary - Stainless Steel Scrap,2018,Chile,Superalloys,Natural Gas Grid,Rail,1889.3,1.5065,20.171,31.09,22.86,67.36,0.0052,25.81,22.0,3,8.26,25.45,0.788,Urban Mining,Low,0.24525,Secondary,Extraction,0.8641,0.6424,Hybrid,Open Loop,87.95,12.5,319,186.2,12,2.9721,Partial,0.00577,0.0148,0.3425,0.03189,0.97,Maintain current circular practices; explore renewable energy
Gold,Secondary - Jewellery Recycling,2013,Indonesia,Aerospace,Mixed Grid (EU),Road,59.5,61.169,627.024,29.54,12.8,967.05,0.0048,25.75,145.6,5,67249.1,24.37,0.846,Closed Loop Recycling,High,0.00468,Secondary,Processing,43.2171,17.9519,Circular,Closed Loop,99.62,16000,780,46.4,30,1.1849,No,0.00472,0.01488,0.7375,0.01328,0.65,Maintain current circular practices; explore renewable energy
Zinc,Primary - Low Grade Ore,2022,Zambia,Chemicals,Coal Grid,Combined (Road+Sea),1266.4,3.0786,51.005,82.13,1.26,237.94,0.0065,73.27,29.4,3,3.52,53.23,0.598,Reuse,Medium,0.23669,Primary,End-of-Life,2.1417,0.9369,Hybrid,Closed Loop,0.69,3.1,1018,95.5,25,2.8319,No,0.00691,0.01626,0.3508,0.07642,0.63,Increase recycled content in feedstock
Indium,Secondary - ITO Recycling,2015,Zambia,Semiconductors,Mixed Grid (China),Sea Freight,3896.1,30.5519,302.472,39.85,21.18,184.03,0.0278,37.99,12.9,2,239.04,31.08,0.778,Remanufacturing,High,1.14643,Secondary,End-of-Life,17.5888,12.9631,Circular,Closed Loop,81.71,167,342,132.7,8,7.1059,No,0.02646,0.01376,1.1844,0.11047,0.94,Maintain current circular practices; explore renewable energy
Platinum,Primary Mining (South Africa),2018,Europe,Catalysts (Auto),Nuclear Grid,Road,453.9,2197.9326,216756.536,66.94,5.61,154173.31,7.8129,68.84,31.3,5,34324.46,48.95,0.602,Landfill,Very High,0.08211,Primary,Processing,1608.6148,589.3178,Conventional,Linear,82.69,12700,471,197.0,41,8.141,No,9.52937,0.0121,1.1029,0.02348,0.6,Increase recycled content in feedstock
Rare Earths,Primary - Ion Adsorption Clay,2012,DRC,EV Motors,Hydro-dominated Grid,Pipeline,962.6,9.3214,317.68,2.42,0.41,7729.17,0.1372,18.34,13.7,1,37.44,7.18,0.612,Open Loop Recycling,Medium,0.28771,Primary,Use,5.5002,3.8212,Conventional,Open Loop,68.93,30.0,405,70.6,15,6.8549,No,0.11197,0.01031,0.4479,0.02438,0.69,Increase recycled content in feedstock
Chromium,Primary - Ferrochrome (Kazakhstan),2018,Russia,Surface Coating,Mixed Grid (India),Rail,1352.1,15.3073,126.44,29.13,4.06,207.61,0.0331,22.56,21.1,4,10.58,20.77,0.65,Incineration,High,0.27376,Primary,Manufacturing,8.5659,6.7414,Conventional,Linear,-22.46,12.5,795,336.7,25,0.7823,No,0.04276,0.03902,0.483,0.02507,0.92,Increase recycled content in feedstock
Rare Earths,Primary - Bastnasite (China),2012,Chile,Permanent Magnets,Hydro-dominated Grid,Pipeline,309.0,5.4334,380.131,0.5,8.33,4093.82,0.0627,14.06,16.0,3,33.26,8.31,0.643,Urban Mining,Medium,0.03994,Primary,End-of-Life,3.9209,1.5125,Conventional,Open Loop,81.89,30.0,1231,66.5,16,2.5522,No,0.06695,0.02955,2.2054,0.01657,0.89,Increase recycled content in feedstock
Nickel,Primary - Laterite (Smelting),2021,Mexico,Electroplating,Mixed Grid (China),Combined (Road+Sea),2917.0,14.2421,116.594,74.93,1.42,259.82,0.0228,59.75,11.2,3,13.12,46.68,0.874,Open Loop Recycling,High,0.63011,Primary,Use,8.7464,5.4957,Conventional,Open Loop,-9.55,13.0,793,456.7,18,1.2587,Yes,0.02247,0.03943,1.6538,0.08684,0.65,Increase recycled content in feedstock
Germanium,Secondary - IR Optics Recycling,2024,Middle East,Solar Cells,Renewable Grid,Rail,743.5,8.2646,2862.116,33.46,12.73,800.27,0.2272,38.07,13.0,2,994.11,27.18,0.685,Remanufacturing,Medium,0.14297,Secondary,Manufacturing,5.2329,3.0317,Circular,Closed Loop,99.35,1280,827,174.2,27,3.5924,No,0.25951,0.00535,1.1807,0.06781,0.63,Reduce material losses in processing
Platinum,Secondary - Industrial Recycling,2023,China,Jewellery,Renewable Grid,Pipeline,745.4,184.8676,19969.64,74.58,24.22,4820.36,0.4513,67.15,34.2,4,33742.15,54.09,0.875,Landfill,Very High,0.15787,Secondary,Use,108.6866,76.181,Hybrid,Linear,98.54,12700,877,173.2,34,6.3474,No,0.40971,0.01826,0.372,0.02897,0.94,Implement end-of-life collection and recycling programme
Germanium,Secondary - IR Optics Recycling,2021,Australia,Fiber Optics,Mixed Grid (EU),Pipeline,585.8,151.0665,2837.234,39.4,19.25,855.72,0.3291,38.47,19.5,2,850.19,30.68,0.854,Urban Mining,Very High,0.02975,Secondary,End-of-Life,93.7128,57.3537,Hybrid,Open Loop,88.2,1280,525,194.4,13,6.4635,No,0.28897,0.01117,2.4221,0.00883,0.62,Maintain current circular practices; explore renewable energy
Nickel,Secondary - Recycled,2016,Peru,Superalloys,Nuclear Grid,Rail,1095.9,0.6162,23.315,68.8,32.81,108.77,0.0045,66.15,13.0,3,15.39,52.74,0.967,Incineration,Low,0.31929,Secondary,End-of-Life,0.4199,0.1963,Hybrid,Linear,95.26,13.0,257,413.8,12,8.1648,No,0.00564,0.01566,0.0262,0.1236,0.89,Transition to closed-loop recycling pathway
Gold,Open Pit Mining,2019,China,Investment,Mixed Grid (India),Road,107.0,14178.6817,188903.432,31.14,3.99,367687.57,1.1991,30.48,125.3,4,56883.04,23.84,0.696,Landfill,Very High,0.02056,Primary,Processing,10001.0744,4177.6073,Conventional,Linear,11.38,16000,1494,185.3,26,1.4614,No,1.54754,0.02256,2.3292,0.08497,0.96,Increase recycled content in feedstock
Silver,Primary Mining (Lead-Zinc Byproduct),2022,DRC,Jewellery,Mixed Grid (China),Sea Freight,2923.4,87.7987,1964.601,68.04,7.8,2223.79,0.3781,72.01,29.2,3,780.17,49.23,0.784,Landfill,High,0.58635,Primary,Extraction,55.0764,32.7223,Conventional,Linear,17.17,106,1477,362.1,27,3.1105,No,0.37855,0.04087,2.2122,0.02999,0.88,Increase recycled content in feedstock
Zinc,Primary - Low Grade Ore,2010,Peru,Batteries,Coal Grid,Rail,841.6,3.324,46.491,87.47,6.25,207.09,0.0096,70.83,19.9,4,3.3,56.11,0.623,Remanufacturing,Medium,0.17782,Primary,Use,2.1933,1.1307,Hybrid,Closed Loop,-7.23,3.1,658,179.0,44,7.0877,No,0.01066,0.01202,0.1347,0.12174,0.56,Increase recycled content in feedstock
Germanium,Secondary - Fiber Optics Recycling,2015,China,Semiconductors,Coal Grid,Combined (Road+Sea),3868.5,94.0713,2886.626,32.9,16.38,852.26,0.1383,37.17,13.5,2,1394.23,27.44,0.65,Open Loop Recycling,High,0.45354,Secondary,Use,60.4621,33.6092,Hybrid,Open Loop,92.65,1280,771,292.8,6,3.5964,No,0.17096,0.03558,1.6544,0.0443,0.57,Reduce material losses in processing
Rare Earths,Primary - Bastnasite (China),2013,Global Average,Phosphors,Mixed Grid (China),Sea Freight,3911.3,35.7242,496.131,0.85,1.88,8237.69,0.1018,15.25,9.9,1,15.4,6.0,0.637,Open Loop Recycling,High,0.30688,Primary,Use,24.1033,11.6209,Conventional,Open Loop,-19.08,30.0,1334,264.3,39,2.6497,No,0.12658,0.00253,1.8812,0.07275,0.88,Increase recycled content in feedstock
Chromium,Secondary - Stainless Steel Scrap,2021,Australia,Pigments,Mixed Grid (EU),Road,52.8,1.304,24.382,35.88,23.48,48.11,0.0048,36.49,20.1,3,8.44,30.45,0.736,Closed Loop Recycling,Low,0.0157,Secondary,End-of-Life,0.7531,0.5509,Circular,Closed Loop,89.57,12.5,842,5.6,20,7.1918,Yes,0.00512,0.00229,1.5005,0.08291,0.89,Maintain current circular practices; explore renewable energy
Aluminium,Secondary - Recycled Scrap,2017,South Africa,Aerospace,Natural Gas Grid,Combined (Road+Sea),5924.3,1.5361,9.184,70.28,32.92,212.48,0.0028,84.47,28.9,4,3.19,59.52,0.711,Open Loop Recycling,Low,0.84302,Secondary,Use,0.8877,0.6484,Hybrid,Open Loop,86.64,11.5,315,72.1,7,7.3806,No,0.00307,0.03268,0.0798,0.01599,0.83,Maintain current circular practices; explore renewable energy
Tin,Primary - Alluvial Mining,2019,Brazil,Bronze Alloys,Hydro-dominated Grid,Sea Freight,7775.0,4.2343,251.91,72.69,7.45,538.92,0.0543,65.28,15.1,3,35.45,48.76,0.897,Landfill,Medium,0.70652,Primary,End-of-Life,2.6638,1.5705,Conventional,Linear,73.54,16.0,1183,138.6,22,8.0784,No,0.04564,0.04975,2.0544,0.12652,0.69,Increase recycled content in feedstock
Magnesium,Secondary - Die-Cast Recycling,2011,Brazil,Automotive (Lightweighting),Hydro-dominated Grid,Pipeline,953.8,0.5586,12.63,47.5,30.06,53.39,0.011,46.72,18.2,4,2.96,39.65,0.776,Reuse,Low,0.09297,Secondary,Manufacturing,0.3757,0.1829,Circular,Closed Loop,96.01,14.0,575,40.1,20,4.3201,Yes,0.00991,0.01989,0.9382,0.00375,0.95,Maintain current circular practices; explore renewable energy
Steel,Blast Furnace - BOF,2016,China,Infrastructure,Mixed Grid (India),Air Freight,1115.2,1.9604,22.125,91.68,8.04,45.31,0.0047,81.03,48.7,5,0.86,61.76,0.96,Remanufacturing,Low,0.10792,Primary,Processing,1.2656,0.6948,Hybrid,Closed Loop,-3.18,1.9,649,54.6,19,3.5586,No,0.0044,0.01357,1.5093,0.12282,0.8,Increase recycled content in feedstock
Cobalt,Secondary - Battery Recycling,2019,Middle East,Superalloys,Natural Gas Grid,Air Freight,4901.5,2.5777,36.356,69.56,37.15,138.6,0.0048,67.9,19.9,2,38.75,53.65,0.879,Open Loop Recycling,Medium,1.21084,Secondary,Manufacturing,1.7011,0.8766,Hybrid,Open Loop,69.67,8.5,344,393.4,15,5.2938,Partial,0.00624,0.01341,0.4244,0.01439,0.83,Maintain current circular practices; explore renewable energy
Gold,Secondary - Jewellery Recycling,2023,Philippines,Investment,Mixed Grid (Global Avg),Road,362.2,55.0227,743.226,28.89,14.24,1118.37,0.0033,25.84,60.0,5,61397.24,24.46,0.676,Landfill,High,0.05555,Secondary,Manufacturing,31.6068,23.4159,Hybrid,Linear,99.66,16000,590,214.8,7,3.998,Yes,0.0039,0.01769,1.8269,0.1251,0.73,Implement end-of-life collection and recycling programme
Gallium,Primary - Zinc Byproduct,2018,Kazakhstan,Solar Cells (GaAs),Coal Grid,Air Freight,1480.7,562.4736,9171.321,16.76,4.34,5543.3,0.9868,27.68,12.3,2,190.34,16.54,0.874,Urban Mining,Very High,0.14521,Primary,Manufacturing,344.2389,218.2347,Conventional,Open Loop,-6.13,530,780,226.5,30,2.7136,No,0.82147,0.00719,0.08,0.13249,0.57,Increase recycled content in feedstock
Rare Earths,Primary - Monazite,2011,India,Phosphors,Nuclear Grid,Air Freight,1662.8,9.1149,341.725,2.85,8.15,9382.89,0.0917,21.78,17.5,2,75.19,10.66,0.861,Reuse,Medium,0.41182,Primary,Use,5.5832,3.5317,Hybrid,Closed Loop,69.62,30.0,1483,105.6,16,6.1823,No,0.09958,0.04264,1.4903,0.12366,0.89,Increase recycled content in feedstock
Manganese,Primary - Electrolytic,2018,India,Fertilizers,Nuclear Grid,Air Freight,1039.5,0.5113,24.493,42.57,4.93,199.33,0.0028,46.25,23.2,3,1.73,32.01,0.705,Reuse,Low,0.23398,Primary,End-of-Life,0.3282,0.1831,Hybrid,Closed Loop,60.67,1.3,1188,350.6,18,3.7706,No,0.00335,0.0489,0.0677,0.07569,0.75,Increase recycled content in feedstock
Platinum,Primary Mining (South Africa),2014,Middle East,Fuel Cells,Renewable Grid,Combined (Road+Sea),5724.9,1584.7042,181652.088,74.69,3.56,217644.39,4.7697,62.41,48.9,5,35990.21,49.33,0.845,Closed Loop Recycling,Very High,0.83614,Primary,Manufacturing,940.0744,644.6298,Hybrid,Closed Loop,87.52,12700,1573,411.3,22,8.3136,No,4.39811,0.03514,2.0278,0.05346,0.65,Increase recycled content in feedstock
Nickel,Primary - Laterite (HPAL),2015,Peru,Superalloys,Coal Grid,Road,59.9,9.337,174.982,71.97,2.97,401.44,0.0185,67.35,14.6,2,20.77,47.49,0.68,Urban Mining,Medium,0.00435,Primary,End-of-Life,5.6979,3.6391,Conventional,Open Loop,28.18,13.0,1113,190.7,32,3.7519,No,0.02071,0.00335,2.2387,0.13913,0.85,Increase recycled content in feedstock
Nickel,Primary - Sulphide Ore,2016,Mexico,Superalloys,Mixed Grid (EU),Rail,887.6,9.3776,221.931,62.26,2.37,326.57,0.016,73.98,21.2,4,21.53,47.46,0.84,Urban Mining,Medium,0.16618,Primary,Use,6.9714,2.4062,Conventional,Open Loop,27.86,13.0,834,367.5,6,4.1692,No,0.01525,0.01647,1.166,0.02064,0.57,Increase recycled content in feedstock
Cobalt,Primary - Standalone Mining,2014,China,Catalysts,Mixed Grid (Global Avg),Sea Freight,4805.6,7.8468,74.976,66.06,1.14,314.11,0.0146,65.6,13.9,3,44.93,45.28,0.917,Reuse,Medium,0.73228,Primary,Manufacturing,5.367,2.4798,Hybrid,Closed Loop,7.68,8.5,1074,231.2,3,5.859,No,0.01222,0.00886,0.8134,0.07978,0.68,Increase recycled content in feedstock
Indium,Secondary - ITO Recycling,2017,Middle East,Solar Cells (CIGS),Mixed Grid (Global Avg),Combined (Road+Sea),3649.9,26.9804,419.748,39.04,19.77,125.49,0.055,31.39,8.2,2,245.74,28.54,0.557,Reuse,High,1.06255,Secondary,Manufacturing,15.1898,11.7906,Circular,Closed Loop,83.84,167,645,377.0,32,1.3583,Yes,0.06745,0.02336,2.4796,0.14558,0.69,Reduce material losses in processing
Gallium,Primary - Aluminium Byproduct,2018,Canada,Solar Cells (GaAs),Natural Gas Grid,Sea Freight,7301.3,343.4814,5990.16,20.25,9.8,3823.75,1.1442,26.44,11.4,1,261.12,17.73,0.937,Open Loop Recycling,Very High,1.85482,Primary,Manufacturing,217.6308,125.8506,Conventional,Open Loop,35.19,530,886,226.6,27,1.5504,No,0.93793,0.04785,1.7699,0.04068,0.93,Increase recycled content in feedstock
Magnesium,Pidgeon Process (Coal),2011,Philippines,Electronics,Hydro-dominated Grid,Road,274.2,4.7928,139.155,46.19,4.84,240.8,0.0981,46.23,15.8,2,3.06,32.5,0.905,Urban Mining,Medium,0.06191,Primary,Processing,2.8294,1.9634,Conventional,Open Loop,65.77,14.0,608,34.5,10,6.8522,No,0.09262,0.01785,1.7165,0.10758,0.92,Increase recycled content in feedstock
Silver,Primary Mining (Lead-Zinc Byproduct),2018,China,Solar Panels,Mixed Grid (EU),Air Freight,2663.6,87.3414,1740.225,68.73,1.05,2105.97,0.4557,75.73,37.9,3,819.14,49.24,0.721,Open Loop Recycling,High,0.30366,Primary,Manufacturing,65.2754,22.066,Conventional,Open Loop,17.6,106,1026,441.7,25,6.5278,Yes,0.36856,0.04962,0.9248,0.12328,0.68,Increase recycled content in feedstock
Indium,Secondary - ITO Recycling,2019,Zambia,Solar Cells (CIGS),Natural Gas Grid,Pipeline,829.7,29.6539,255.032,36.42,22.01,227.47,0.053,33.72,8.5,2,245.85,28.76,0.838,Closed Loop Recycling,High,0.11088,Secondary,Manufacturing,18.6949,10.959,Circular,Closed Loop,82.24,167,838,411.9,12,6.4828,No,0.06206,0.00324,2.3717,0.0404,0.57,Maintain current circular practices; explore renewable energy
Lead,Secondary - Mixed Scrap,2019,Indonesia,Radiation Shielding,Renewable Grid,Road,141.3,0.0909,8.909,95.04,76.44,46.33,0.0011,90.58,18.9,4,2.65,78.73,0.877,Open Loop Recycling,Low,0.02786,Secondary,Extraction,0.0519,0.039,Hybrid,Open Loop,94.65,1.7,580,298.2,34,6.998,No,0.0014,0.01772,0.8721,0.13617,0.6,Maintain current circular practices; explore renewable energy
Gold,Secondary - Electronics Recycling,2022,Peru,Electronics,Mixed Grid (China),Pipeline,891.4,70.4211,851.038,27.55,18.68,821.23,0.0067,30.38,141.5,4,56251.27,25.49,0.726,Reuse,High,0.17184,Secondary,Use,44.9859,25.4352,Circular,Closed Loop,99.56,16000,200,46.7,22,2.2665,Partial,0.00705,0.02288,0.705,0.00905,0.93,Maintain current circular practices; explore renewable energy
Lead,Primary - Blast Furnace,2021,South Africa,Construction,Renewable Grid,Combined (Road+Sea),4318.2,0.8045,27.396,96.59,4.68,152.69,0.0057,91.72,22.7,4,2.59,65.26,0.969,Remanufacturing,Low,0.57239,Primary,Extraction,0.5152,0.2893,Hybrid,Closed Loop,52.68,1.7,918,389.2,10,4.1838,No,0.00723,0.00314,0.6853,0.05001,0.94,Increase recycled content in feedstock
